"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
4,15,8,16,12,3,30,20,11,16,14,8,25,20,1,7,17,21,25,21,6,11,8,12,34,31,8,19,26,36,4,20,5,14,15,18,9,6,4,29,7,7,26,22,10,8,9,44,7,22,13,14,12,27,9,53,8,14,2,4,6,4,50,21,27,16,4,16,29,10,4,37,15,16,22,9,8,10,18,14,18,5,8,3,29,24,4,22,9,19,23,8,2,37,22,3,2,35,9,12,22,27,6,26,19,7,9,12,8,29,14,29,11,22,12,1,17,16,7,10,10,26,21,10,8,13,5,3,7,5,16,11,22,14,21,0,8,8,5,6,14,16,17,7,5,26,10,5,13,8,12,21,2,1,14,15,3,13,9,31,7,5,12,5,25,9,8,16,18,19,11,23,19,18,24,10,15,16,14,18,7,9,6,8,3,1,14,18,20,15,4,38,14,6,11,17,12,1,12,8,11,13,19,6,12,17,18,6,12,5,3,8,6,17,6,3,3,27,15,2,30,6,20,12,18,7,25,11,14,11,14,14,11,4,29,16,17,11,3,10,1,5,11,10,9,27,5,16,1,5,17,22,7,23,14,5,16,18,19,10,8,28,21,13,5,15,23,26,23,50,7,11,32,4,19,30,14,5,23,5,16,6,30,4,7,16,1,8,26,2,14,29,5,14,29,19,1,31,6,10,9,13,16,12,12,13,23,34,10,14,13,16,9,17,28,5,10,56,25,9,12,10,29,23,28,9,5,35,13,6,7,17,24,18,20,5,41,23,10,15,10,14,15,14,11,40,24,34,13,3,2,8,12,10,12,15,10,5,26,3,5,15,6,5,32,6,27,8,27,25,13,6,13,15,13,23,9,29,10,23,4,5,17,6,8,13,20,5,7,11,12,7,5,22,9,8,6,21,23,11,28,73,15,20,9,10,20,47,19,14,13,14,2,14,18,12,12,7,8,53,22,10,10,50,36,16,31,12,14,7,11,17,6,8,9,17,29,24,17,6,16,14,23,6,13,25,11,7,6,17,38,29,26,13,23,4,11,1,8,19,13,24,33,3,18,11,7,13,7,11,23,17,34,26,10,45,3,9,13,18,7,17,32,17,7,13,29,31,7,8,10,16,6,4,19,7,17,43,7,30
1,6,1,3,3,2,10,1,2,2,13,11,6,1,3,3,3,2,3,5,3,3,3,6,5,6,8,9,10,4,3,7,5,4,9,0,7,2,5,4,6,3,4,8,5,5,8,1,3,8,2,4,6,3,3,7,0,7,4,0,1,2,3,6,10,6,2,2,4,6,3,9,12,11,2,6,8,12,8,11,4,7,2,2,3,4,11,8,0,3,11,2,0,1,5,3,1,12,2,5,7,0,3,5,9,5,4,2,7,10,9,6,4,1,6,2,10,11,4,6,2,10,1,4,4,1,4,14,2,3,4,3,9,2,14,6,3,1,5,0,3,9,7,2,3,7,2,2,12,3,3,9,0,7,1,9,6,1,4,1,4,1,9,4,14,2,11,1,10,1,5,18,2,7,9,9,4,2,6,5,13,2,7,2,6,5,3,1,6,5,1,7,1,6,1,6,7,9,2,6,3,3,1,5,7,2,1,2,1,3,6,2,2,6,8,5,1,0,0,9,6,1,2,5,0,6,4,4,2,1,3,8,1,0,5,4,7,6,2,9,2,4,9,2,4,1,3,3,1,2,6,14,3,4,3,5,3,6,5,3,0,9,5,1,0,2,8,9,4,8,5,3,5,0,4,7,8,2,1,10,9,2,3,12,0,3,6,2,5,4,4,13,2,4,1,1,4,0,18,11,4,14,4,0,4,4,2,3,6,5,4,5,3,4,12,4,16,2,4,3,6,2,4,12,8,1,2,2,3,5,5,5,13,0,1,10,5,0,1,6,4,3,1,0,4,8,6,1,11,3,2,4,3,3,7,4,4,3,7,5,3,9,4,4,5,4,1,4,3,5,12,10,1,4,10,6,6,2,7,7,0,5,1,0,0,1,2,3,2,7,0,10,17,3,3,12,2,1,6,1,6,13,9,1,0,2,5,6,7,5,4,6,7,2,6,19,23,4,7,0,0,5,5,13,6,2,5,2,2,1,5,3,5,4,2,4,0,10,2,0,10,12,3,9,13,4,2,15,9,2,8,6,0,4,8,6,0,0,6,7,1,5,1,5,8,1,5,1,16,5,4,0,7,9,8,4,2,0,1,5,3,4,7,9,0,1,14,2,3,2,4,1,1,3,1,6,1,10,1,7
15,18,21,19,22,12,22,6,13,5,18,13,8,14,1,3,11,14,3,16,14,5,14,10,2,36,16,6,13,14,19,16,2,10,24,13,14,7,17,3,23,6,2,11,14,8,10,39,3,24,8,9,18,7,6,32,13,39,1,4,0,16,14,6,30,39,5,22,25,36,15,19,4,16,3,16,1,11,21,16,5,9,9,10,80,17,7,8,5,15,21,5,6,17,5,15,7,13,35,24,15,21,2,16,54,32,11,5,13,12,9,7,27,7,19,18,27,4,8,5,10,1,6,6,26,15,16,8,8,26,14,7,7,1,3,5,22,23,13,16,18,10,22,0,3,7,11,14,14,12,14,31,4,8,5,10,17,14,30,9,7,10,7,12,7,11,44,13,8,11,5,10,5,17,14,15,41,3,6,5,26,16,20,4,15,5,17,11,14,17,5,41,12,6,11,11,29,4,10,5,5,13,16,16,8,6,11,16,12,15,23,11,7,1,17,16,16,6,2,11,33,5,4,13,34,2,18,11,14,2,17,8,3,9,10,5,6,3,22,20,7,6,4,9,7,6,3,13,19,7,18,18,3,10,9,8,3,10,70,8,5,26,20,11,5,4,4,11,15,57,7,16,1,35,1,30,17,13,56,17,0,10,5,16,6,33,20,13,27,4,5,3,16,4,31,3,4,1,10,41,0,12,44,5,9,21,14,20,39,6,9,21,7,15,6,9,5,7,7,30,11,4,17,14,10,12,5,20,16,4,31,17,98,2,14,39,3,18,3,30,3,16,38,2,7,3,30,10,7,11,6,10,15,8,27,4,12,24,7,13,32,10,21,8,21,7,4,10,16,18,14,11,5,13,25,17,7,7,2,16,12,62,11,14,12,14,31,14,2,8,17,8,7,25,4,68,10,9,17,9,23,18,1,10,2,15,14,30,44,5,18,2,12,19,13,11,22,5,5,15,3,10,43,29,103,12,2,43,26,5,13,56,19,4,5,10,12,76,37,14,6,15,24,40,31,13,14,35,12,13,26,9,9,5,11,19,10,6,7,10,12,8,25,7,32,13,8,21,20,25,5,16,10,26,16,8,7,29,11,8,9,10,4,5,10,5,27,24,6,9,10,3,7,4,8,18,9,20,25,9
5,25,3,22,27,6,16,7,21,1,18,7,28,2,0,5,3,18,2,3,10,24,11,12,4,9,25,4,6,16,26,4,3,2,21,2,7,9,14,14,9,17,9,5,9,7,8,7,4,17,10,22,3,20,9,24,2,10,10,4,11,11,19,18,15,17,6,5,7,37,9,14,22,17,4,13,10,5,5,1,5,57,14,14,15,3,19,10,13,6,5,15,3,4,19,4,5,15,6,4,1,18,6,9,7,9,8,7,5,24,4,11,20,9,15,5,17,2,0,12,5,12,10,7,8,9,3,17,6,6,11,9,6,11,23,3,11,5,6,9,23,7,3,10,6,5,3,2,11,16,16,4,7,5,7,5,3,19,10,9,15,6,7,8,7,2,20,1,14,8,14,17,3,4,9,27,39,1,3,6,1,24,18,16,9,17,6,13,27,1,2,3,6,13,0,8,13,17,10,2,4,3,3,7,7,26,41,13,20,2,12,24,10,19,14,9,1,2,2,9,17,6,17,15,10,20,16,11,6,16,8,20,11,11,15,19,14,14,10,12,8,4,7,21,11,2,3,3,25,8,8,14,7,13,6,3,10,14,17,29,18,17,8,14,11,1,6,17,12,39,8,9,4,17,7,1,19,16,3,9,5,16,6,6,6,13,5,25,9,5,56,13,3,11,5,9,1,10,9,13,8,9,17,1,9,3,9,17,3,0,10,8,6,19,7,6,14,12,22,19,4,3,3,22,22,5,14,14,9,1,5,23,32,3,7,36,26,10,11,13,12,22,10,2,15,12,14,6,9,30,6,16,6,4,6,8,17,12,2,4,11,3,24,21,5,9,32,16,5,2,30,15,4,27,0,4,3,14,7,13,15,12,3,8,10,6,17,24,6,5,9,15,4,3,4,17,6,24,6,5,6,24,0,15,17,7,14,23,19,42,5,1,4,21,6,12,25,2,5,5,3,16,6,33,7,1,26,4,18,5,4,14,10,17,1,27,22,27,7,17,7,1,5,4,17,6,11,12,2,18,12,9,15,8,4,0,0,4,9,2,3,8,4,9,4,11,3,13,11,13,5,7,9,12,20,20,5,8,3,3,5,11,3,6,21,6,19,11,1,10,8,9,8,3,22,17,9,10,7,11
3,10,3,24,8,15,1,5,18,4,3,9,17,13,3,3,6,14,12,3,12,3,1,4,13,13,33,19,5,10,17,7,3,2,22,6,7,10,14,2,14,9,8,27,4,2,6,20,9,15,7,12,24,2,14,14,1,9,2,4,13,6,14,9,4,2,0,9,4,2,9,23,6,16,7,10,11,2,13,8,1,9,5,22,6,4,5,3,6,10,13,9,1,6,3,10,4,19,5,6,12,1,1,9,14,8,5,5,9,23,19,11,10,7,21,12,17,34,8,15,10,20,14,2,15,3,6,22,3,8,8,1,10,4,24,3,7,11,6,15,5,6,7,6,7,15,6,8,8,1,6,8,7,8,8,18,8,7,10,6,7,30,14,3,10,10,15,5,9,12,12,5,5,16,12,42,5,4,5,5,16,15,6,7,3,18,2,2,6,8,3,8,4,3,2,6,9,7,35,7,8,5,8,15,5,14,11,24,8,8,20,21,15,3,11,15,9,2,4,3,17,3,7,15,11,1,8,5,5,17,21,8,2,3,17,9,9,11,11,26,9,13,18,6,7,10,12,5,1,2,31,4,10,9,8,3,17,16,12,11,9,17,8,8,6,12,9,19,2,17,6,3,10,15,10,18,14,1,7,4,12,12,17,14,10,11,15,1,32,2,14,6,6,26,7,15,3,8,5,3,3,14,5,5,5,9,5,16,29,8,5,18,11,7,5,19,7,10,2,16,11,6,3,16,5,6,20,7,3,4,2,16,31,5,9,22,0,13,13,21,12,6,1,18,0,3,7,5,13,14,11,8,8,34,16,4,8,22,20,1,18,13,18,11,12,3,7,10,11,12,4,6,6,19,11,18,6,15,1,7,9,11,3,5,13,3,14,16,3,1,4,4,16,12,2,2,4,2,9,5,9,6,10,14,7,23,11,10,4,25,16,10,1,5,3,7,18,10,13,8,3,13,12,19,22,8,12,11,11,4,38,2,8,4,10,16,28,35,15,9,5,7,15,7,6,3,4,17,3,11,24,11,9,6,8,14,10,6,20,32,6,12,10,4,12,14,9,3,2,7,14,5,6,9,16,15,10,8,5,10,8,6,19,3,7,7,14,9,4,11,4,3,13,3,10,23,13,14,9,15
8,7,5,5,4,0,2,4,6,1,2,4,14,6,3,2,6,10,6,11,4,11,1,1,2,11,4,2,1,2,4,3,0,3,2,5,8,1,0,6,5,4,5,8,4,10,2,11,1,5,5,5,2,11,2,12,0,3,8,1,9,3,9,3,0,0,3,2,1,9,0,7,8,8,7,4,2,1,3,5,0,14,3,1,15,1,3,12,3,2,3,3,3,20,2,5,1,10,3,4,6,2,6,13,6,2,4,3,3,9,6,2,1,7,3,3,4,3,4,4,3,6,12,2,3,2,2,3,3,6,4,4,9,1,2,14,4,1,4,0,0,5,11,1,1,5,1,0,0,6,4,4,7,7,1,5,6,7,3,0,2,7,2,3,3,1,9,5,2,3,6,1,2,2,4,13,4,2,0,1,0,9,1,4,1,0,4,9,11,2,1,12,3,4,3,4,6,5,8,1,2,2,5,1,1,1,13,5,1,5,2,0,5,8,3,2,1,3,1,5,4,2,1,1,3,5,4,9,1,2,3,5,7,2,1,2,2,0,3,6,10,2,5,2,5,1,1,8,1,7,8,8,3,1,2,4,1,2,2,2,1,5,9,4,2,3,4,1,3,5,0,5,4,3,1,8,4,4,3,0,5,5,5,3,2,2,11,2,4,4,4,0,4,0,9,0,4,0,11,1,0,7,1,5,3,0,9,5,2,1,5,4,7,3,4,3,25,2,4,5,1,2,2,4,2,5,2,6,7,8,8,2,12,6,0,13,7,2,0,7,3,7,5,2,1,6,4,4,17,16,8,8,10,3,7,2,3,5,11,1,3,6,6,2,5,5,3,4,7,5,22,3,1,1,0,0,10,3,7,1,4,3,3,2,8,0,5,3,2,2,2,12,2,1,4,2,3,2,16,5,4,1,6,1,0,7,3,9,2,5,2,1,4,5,5,11,10,1,4,12,5,5,4,15,19,6,2,1,3,3,6,2,5,7,2,5,3,16,5,4,7,2,3,2,4,8,2,9,1,1,3,11,3,6,8,4,0,0,1,8,2,0,16,2,11,2,2,3,0,3,9,3,3,6,0,2,1,3,1,6,0,0,1,5,5,2,5,8,2,5,0,0,4,3,2,3,0,4,2,8
3,49,10,4,9,3,17,2,3,10,31,1,11,16,4,9,23,9,17,5,1,9,6,0,2,26,31,11,4,14,7,19,0,7,5,9,20,4,15,7,3,8,30,11,10,2,4,11,9,2,2,18,12,18,11,69,5,12,1,5,3,24,18,25,17,13,9,24,18,1,5,30,2,7,3,16,7,28,22,16,9,13,8,3,12,16,4,13,8,0,13,8,9,17,4,2,2,25,33,15,25,3,12,14,14,22,3,11,5,14,9,30,28,9,7,5,12,17,2,10,17,15,20,6,12,2,2,41,3,16,13,20,34,14,12,6,8,8,14,14,12,9,14,8,14,9,7,1,11,14,13,5,3,2,3,9,11,5,14,19,7,5,6,6,24,1,23,10,4,7,19,9,13,7,19,36,23,15,5,6,6,11,4,0,4,2,30,3,7,6,5,11,2,5,7,9,12,9,9,7,6,2,11,15,1,12,9,21,8,6,8,2,16,7,5,2,21,11,12,9,32,1,17,6,12,8,19,10,15,15,6,14,4,3,8,17,13,3,10,3,2,4,6,8,3,5,1,18,3,9,28,22,3,29,7,22,18,4,6,15,3,22,20,7,5,4,21,26,12,32,5,16,12,19,5,21,7,3,1,3,11,8,5,10,0,1,28,7,21,8,7,9,3,16,18,10,6,0,1,32,10,10,9,15,10,6,33,1,35,14,8,12,7,2,4,13,12,10,16,11,16,6,1,28,5,1,23,43,29,9,10,17,37,17,3,33,8,33,17,15,4,32,14,18,3,8,37,25,20,8,0,1,11,12,16,4,11,5,8,0,8,9,15,5,21,3,12,5,10,14,12,7,14,8,8,3,5,3,4,14,4,9,12,2,5,2,11,4,6,6,1,5,7,4,9,8,4,35,1,1,9,42,14,7,25,5,9,19,4,16,12,9,3,9,12,15,6,12,14,26,0,2,4,28,17,10,37,20,8,4,6,3,5,11,6,7,17,30,23,7,5,23,12,10,8,27,10,20,9,10,55,1,28,18,4,14,6,1,12,9,4,4,13,4,6,5,17,7,9,16,11,24,14,22,7,17,1,8,3,8,7,1,11,2,12,15,10,32,16,8,11,0,2,4,14,5,15,12,3,12
10,19,3,21,11,16,48,17,8,2,9,9,12,16,15,5,2,26,4,20,22,12,20,7,20,13,36,2,12,22,2,14,1,6,20,3,6,4,5,8,5,12,14,10,3,4,19,11,8,44,3,21,10,5,17,14,2,24,23,7,6,9,6,11,22,21,1,16,46,11,10,36,19,20,15,20,16,20,17,20,15,5,6,8,28,14,14,40,10,4,16,4,4,10,3,9,3,41,5,14,35,14,6,6,13,5,15,1,7,14,3,49,18,0,45,6,7,4,3,6,4,9,10,13,12,6,20,9,3,60,15,8,16,11,42,3,3,6,3,12,5,4,5,12,6,12,4,6,3,8,13,16,2,2,5,16,11,2,10,8,14,15,7,9,2,6,10,10,3,6,30,36,2,14,29,55,13,6,19,9,15,17,17,9,14,17,5,1,10,11,12,9,10,12,10,11,1,10,9,12,4,1,5,13,9,4,17,17,15,3,12,6,8,6,8,16,14,16,12,8,11,2,4,24,10,23,5,3,7,3,8,5,62,5,26,6,23,9,16,23,14,19,11,7,10,18,6,11,23,1,24,24,13,7,12,24,1,4,0,12,3,13,16,2,2,3,1,15,1,72,1,11,12,18,16,20,19,8,7,58,5,15,7,25,5,25,6,5,3,7,19,10,4,9,11,8,7,12,28,9,14,4,19,2,33,5,12,7,8,7,26,8,4,12,13,14,17,4,12,33,10,7,5,14,8,14,7,10,14,2,7,7,31,4,1,12,15,7,9,77,11,9,6,6,13,10,10,19,12,8,13,11,16,14,22,6,27,11,14,12,10,13,12,16,13,7,13,9,6,7,30,4,7,27,10,3,12,6,3,36,17,19,7,9,10,6,16,8,8,11,7,5,17,9,11,18,3,4,19,7,26,18,15,10,6,50,24,42,7,5,4,12,4,12,10,18,23,3,5,27,11,10,43,17,39,24,23,12,12,14,10,3,19,1,4,37,17,32,16,17,12,10,7,6,30,10,9,21,22,12,37,36,16,11,3,1,6,5,9,25,10,14,5,14,8,8,21,15,7,10,37,12,96,47,19,12,12,33,4,9,6,2,18,16,9,14,11,22,13,14,19,4,4,10,7,41,23,5,2,17
7,6,4,2,8,4,33,5,7,9,9,5,8,8,0,1,13,6,5,4,3,5,2,2,2,4,10,0,1,9,3,11,8,6,0,2,19,8,5,5,10,6,13,2,12,4,10,2,0,12,9,4,3,8,0,6,8,6,9,3,1,7,18,2,16,9,7,20,1,2,5,25,1,6,4,4,7,15,15,11,2,8,6,17,4,2,6,6,4,1,10,3,3,7,4,4,4,2,14,3,12,12,2,14,12,0,7,20,2,4,3,5,3,6,24,4,6,12,1,5,6,18,2,10,6,6,0,3,1,11,15,4,4,6,23,2,6,3,0,3,14,9,3,1,2,0,4,11,6,4,3,14,0,15,8,9,2,12,15,5,7,20,8,1,4,9,10,4,1,6,12,13,12,5,1,10,5,2,9,4,4,5,7,0,3,8,10,14,8,11,5,4,1,4,5,9,16,4,6,6,0,8,15,2,1,11,3,4,5,10,16,1,12,5,26,4,4,3,7,0,3,5,4,2,7,3,9,7,5,6,6,3,9,8,3,10,4,7,14,12,1,11,8,9,8,4,6,1,4,18,8,7,4,2,4,11,1,8,13,8,4,5,12,5,10,4,5,7,11,7,4,8,4,11,0,12,0,3,5,6,13,14,19,7,4,7,2,4,11,5,5,11,5,2,9,2,11,2,5,16,6,15,2,5,4,14,10,4,11,8,14,4,5,4,4,8,4,5,13,9,7,10,14,14,8,0,5,20,11,4,7,17,7,7,6,14,9,6,7,5,1,4,2,2,8,5,13,4,3,17,2,5,11,5,9,1,0,1,5,15,8,5,6,9,1,3,2,4,12,3,11,6,5,6,2,3,9,2,5,5,22,4,7,5,11,4,1,4,3,5,4,7,4,8,7,5,1,17,12,1,21,9,1,1,11,5,3,5,7,3,7,4,1,3,5,19,5,1,3,13,2,6,5,17,7,6,5,4,10,1,6,10,13,5,4,12,15,18,2,8,0,3,4,13,11,14,13,8,2,13,14,12,18,10,8,9,6,0,2,10,13,7,8,4,6,12,1,5,6,7,8,10,6,1,0,6,3,22,3,3,0,1,10,6,4,4,10,7,8,4,2,0,1,3,5,21,2,9,6,15
3,20,11,16,28,21,7,12,28,20,14,40,4,8,7,2,15,3,4,9,8,16,12,13,17,12,8,12,9,22,22,5,9,7,15,15,12,6,11,7,11,31,29,3,5,14,6,28,8,11,16,14,6,26,15,24,9,20,32,5,12,8,47,32,8,6,26,44,22,19,16,10,4,16,12,7,9,23,15,15,21,3,7,9,14,10,19,25,10,12,3,14,6,51,2,3,2,16,10,15,12,7,4,9,3,5,26,12,8,6,3,11,20,14,13,12,16,13,4,11,4,17,23,6,17,10,11,15,6,14,17,7,16,9,21,4,10,10,25,8,7,8,11,1,1,7,9,8,5,31,24,15,6,26,6,18,3,19,17,19,12,24,11,20,12,24,8,6,16,9,24,8,18,9,22,22,8,12,14,16,15,17,24,12,6,39,9,16,8,7,4,17,17,6,12,8,6,9,40,5,13,2,4,10,14,14,12,18,24,6,25,31,12,18,9,21,12,5,28,8,37,8,18,5,17,17,13,14,7,7,9,23,21,5,37,14,4,7,5,13,19,11,16,14,20,4,11,14,37,13,21,12,8,11,11,11,7,30,49,23,11,23,18,7,5,17,2,6,1,50,3,6,11,17,3,18,6,3,11,19,5,7,15,5,7,21,10,8,4,11,13,2,16,26,17,12,4,22,6,31,8,10,15,8,6,6,7,2,36,9,12,4,5,14,2,11,49,15,8,28,23,24,5,22,2,22,6,18,14,7,11,25,12,4,3,11,30,12,24,34,10,19,13,12,2,7,29,11,26,8,11,4,11,10,35,5,12,4,11,31,12,21,22,19,28,22,18,12,4,3,30,16,14,22,8,9,11,0,23,3,20,18,12,13,87,7,36,8,13,8,3,3,7,9,6,9,6,10,20,11,31,33,5,8,6,15,8,27,28,27,10,3,20,28,22,7,25,1,17,29,9,9,16,24,17,29,20,20,3,3,7,32,29,5,10,17,25,24,16,49,6,1,17,25,10,3,23,24,2,10,35,6,18,37,1,6,2,10,21,18,9,10,9,17,23,18,19,4,2,16,19,12,6,12,19,8,1,12,3,19,4,34,15,17,14,9,8,9,10,10,5,25,11,9,9,31,13,11,11,20
