"pxl_col_in_fullres","pxl_row_in_fullres"
10215,8703
4499,9767
9675,4390
3816,7849
4090,8329
9868,10020
11261,3076
11111,8106
11728,9186
5124,7733
6085,8933
8903,10496
4506,7132
7612,3427
11330,2957
8636,6903
10641,3195
9454,10498
7250,10732
11327,4394
10778,3674
8008,10614
10980,5471
7807,8098
4016,10365
4503,8090
9541,2713
6510,3903
4233,6173
11599,5832
4704,10606
6908,10132
6979,9294
7469,5582
4991,5576
10502,3913
10918,2716
5052,8810
6785,3904
4230,7132
9666,7983
9804,7744
9262,4389
11115,6429
7945,8338
10495,7027
8631,9058
9178,10497
7051,7977
10145,9062
10843,5231
4856,4618
7954,4266
4365,8569
6710,6658
3201,5812
6925,2946
7191,6779
3475,6531
9124,4389
9671,5827
11114,6909
5327,9290
4515,3300
11395,4514
9402,3431
5467,8332
6092,6058
5738,10010
4921,6175
9595,8821
7680,3786
4641,8091
5547,3422
5325,9769
7816,4505
5334,6176
10973,8585
10015,5948
10982,4752
4772,10726
6769,10371
4850,7013
9539,3431
3947,10484
5270,4379
5889,4501
4156,9407
6149,10729
10970,9543
11811,3317
9805,7504
8025,3667
8020,5584
9528,8222
7610,4145
8715,2711
8835,10137
11321,7029
7874,9176
9537,4629
3743,9646
8218,9057
6852,4503
8433,5585
10361,5110
4721,3659
6837,10731
7676,5463
9663,9181
9527,8701
5880,8333
6086,8453
5955,5579
8919,3789
8292,7022
3891,5334
10973,8345
6511,3185
7392,9295
6226,7256
9524,9899
9538,4150
5064,4020
9600,6905
6015,9052
10846,3794
7747,4625
7746,5104
9334,3072
6579,3544
4442,4856
5059,6175
4581,4378
3682,6412
6580,3305
11738,5353
11876,5114
4926,4259
6908,9893
5066,3301
9747,2833
7879,7021
5059,5936
8499,6902
5194,7373
8705,7023
10694,9782
5876,9770
9396,5826
8216,9776
7943,9057
10560,8584
4773,10486
11807,4994
8214,10734
11878,4156
9883,3792
5601,9530
7875,8697
8223,6902
8768,9538
7131,3066
6505,6059
10700,7387
9189,5946
11319,7747
5817,5578
6366,6298
4636,10247
9534,5827
4981,9888
8777,5705
9529,7983
6438,4981
5333,6655
10148,8104
11807,5233
4918,7612
6495,10131
3889,6053
10355,7985
5053,8571
5736,10968
8700,8939
9043,9538
10362,4871
5536,8213
10486,10620
7406,3307
8007,10853
5263,7014
5809,8932
8094,3308
11591,8946
4510,5455
5736,10728
6360,8933
9114,8461
10847,3554
10844,4992
7116,9534
3683,5693
6097,3663
10697,8584
10153,5948
4713,7013
4790,3300
5460,10967
9939,9181
6440,4262
4996,3660
8635,7382
11043,7747
7336,3666
8902,10736
4295,8928
10773,5830
3886,7250
9532,6545
4226,8808
9678,3192
5260,8451
8565,7980
6437,5460
4650,4498
9603,5468
10154,5709
7263,5702
9880,4989
11674,3077
4301,6293
5612,4979
5051,9289
5392,10608
6639,7497
7735,9655
7530,8816
9466,5467
3810,10245
7182,10612
8421,10615
7531,8577
8909,8101
